Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;05:00;6,1
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;06:00;5,6
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;07:00;6,5
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;08:00;8,1
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;09:00;13,1
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;10:00;15,8
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;11:00;17,2
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;12:00;17,6
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;13:00;17,3
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;14:00;16,2
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;15:00;16,2
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;16:00;14,7
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;17:00;12
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;18:00;10,5
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;19:00;9,5
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;20:00;8,4
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;21:00;7,2
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;22:00;6,7
Mazara del Vallo;Temperatura aria media oraria (°C);07/01/2023;23:00;5,1
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;00:00;4,7
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;01:00;4,3
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;02:00;4,2
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;03:00;3
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;04:00;3,2
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;05:00;3
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;06:00;3
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;07:00;2,8
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;08:00;5,1
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;09:00;11,2
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;10:00;15,1
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;11:00;15,2
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;12:00;16,4
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;13:00;17,5
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;14:00;17,2
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;15:00;16,6
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;16:00;14,5
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;17:00;12
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;18:00;9,2
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;19:00;7,4
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;20:00;6,6
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;21:00;5,7
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;22:00;5,5
Mazara del Vallo;Temperatura aria media oraria (°C);08/01/2023;23:00;5,5
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;00:00;6,2
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;01:00;7,4
Mazara del Vallo;Temperatura aria media oraria (°C);09/01/2023;02:00;7,5
