Stazione;Grandezza;Data rilevazione;Ora rilevazione;Valore
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);06/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;07:00;0,07
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;08:00;0,66
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;09:00;1,3
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;10:00;1,78
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;11:00;2,06
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;12:00;1,99
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;13:00;1,38
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;14:00;0,74
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;15:00;1,12
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;16:00;0,33
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;17:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);07/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;07:00;0,07
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;08:00;0,67
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;09:00;1,33
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;10:00;1,81
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;11:00;0,94
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;12:00;2,27
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;13:00;2,05
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;14:00;1,67
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;15:00;1,07
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;16:00;0,36
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;17:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);08/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;07:00;0,02
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;08:00;0,15
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;09:00;0,28
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;10:00;0,36
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;11:00;0,28
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;12:00;0,3
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;13:00;0,57
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;14:00;0,27
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;15:00;0,18
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;16:00;0,09
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;17:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);09/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;07:00;0,07
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;08:00;0,51
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;09:00;0,73
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;10:00;1,54
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;11:00;1,68
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;12:00;1,58
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;13:00;1,26
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;14:00;1,24
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;15:00;0,7
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;16:00;0,34
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;17:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);10/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;07:00;0,07
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;08:00;0,65
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;09:00;1,35
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;10:00;1,44
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;11:00;1,65
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;12:00;1,87
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;13:00;1,9
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;14:00;1,8
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;15:00;1,13
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;16:00;0,43
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;17:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);11/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;07:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;08:00;0,47
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;09:00;0,89
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;10:00;0,78
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;11:00;1,08
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;12:00;1,51
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;13:00;1,96
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;14:00;1,19
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;15:00;0,86
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;16:00;0,39
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;17:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);12/01/2023;23:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;00:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;01:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;02:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;03:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;04:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;05:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;06:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;07:00;0,09
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;08:00;0,73
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;09:00;1,46
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;10:00;1,92
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;11:00;1,7
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;12:00;1,63
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;13:00;2,03
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;14:00;1,04
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;15:00;0,85
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;16:00;0,22
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;17:00;0,01
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;18:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;19:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;20:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;21:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;22:00;0
Mazara del Vallo;Radiazione solare totale oraria (MJ/mq);13/01/2023;23:00;0
